"ID","Taxon","Common","Observer","Source","time","InfestedArea","Percent Cover","GrossArea","Low_Plant","High_Plant","Management Status","Detail URL","County","lat","lng","Datum","Elevation (meters)","Notes"
"mcp4271","Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013-05-08," ","25 - 50","0.0116921 Acres",,300,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4271","Marin",38.09874864,-122.54328043,"NAD83"," "," "
"mcp4270","Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013-05-08," ","01/05/15","1.90885E-4 Acres",,2,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4270","Marin",38.09827348,-122.54271825,"NAD83"," "," "
"mcp4269","Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013-05-08," ","25 - 50","0.148363 Acres",,1200,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4269","Marin",38.09620498,-122.54032208,"NAD83"," "," "
"mcp4268","Lepidium latifolium","Perennial pepperweed","Monica Delmartini","MCOSD",2013-05-08," ","05/25/15","0.748456 Acres",,2000,"managed","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp4268","Marin",38.1000594,-122.5411219,"NAD83"," "," "
"mcp2345","Lepidium latifolium","Perennial pepperweed","Pete Frye","MCOSD",2013-05-08," ","0 - 1 %","< 0.1 Acres",,1,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp2345","Marin",38.01860196,-122.5154544,"NAD83"," ","Just starting to bud. Doesn't seem like that many less than last year, though there are some dead areas that were probably from spray last year where there was none."
"mcp2346","Lepidium latifolium","Perennial pepperweed","Pete Frye","MCOSD",2013-05-08," ","0 - 1 %","< 0.1 Acres",,1,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=mcp2346","Marin",38.01947529,-122.51384309,"NAD83"," ","Only found 2 plants. (Leah pulled one because she didn't know not to.) Hopefully we can find the one plant again when we come back to spray. It is right near two wooden posts and path through coyote brush."
"wb1184-79","Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013-04-02," ",16.5," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1184-79","Marin",37.99980515,-122.46068077,"NAD83",2,"Public use beach. Hand pulled."
"wb1184-80","Lepidium latifolium","Perennial pepperweed","BILL MILLER","California State Parks WIMS",2013-04-02," ",16.5," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1184-80","Marin",38.00478956,-122.47279472,"NAD83",1,"Bounded on north by rocky point, on south by bullrushes."
"gx15440","Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service [SFAN]",2012-08-22,"3.2 square meters",3,"105.1686 square meters",,200,"verified","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=gx15440","Marin",37.9336746018,-122.6950507093,"NAD83"," ","with fennel, gumplant, salsola soda, and pickleweed"
"wb1163-1307","Lepidium latifolium","Perennial pepperweed","Wrubel, Eric","SFNPS Early Detection",2012-08-22," "," "," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=wb1163-1307","Marin",37.9336746018,-122.6950507093,"NAD83",1,"lela2x16122012082201"
"gx7881","Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service [SFAN]",2012-08-22," "," "," ",," "," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=gx7881","Marin",37.9336746018,-122.6950507093,"NAD83"," "," "
"cbo8004","Lepidium latifolium","Perennial pepperweed","Eric Wrubel","National Park Service",2012-08-20," "," "," ",,1," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=cbo8004","Marin",37.933661,-122.69511,"NAD83",1," "
"cbo7488","Lepidium latifolium","Perennial pepperweed","Matthew Danielczyk","Audubon Canyon Ranch",2012-07-03,"1 Square Feet","05/25/15","5 Square Meters",11,50," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=cbo7488","Marin",38.226931,-122.917063,"NAD83",2," "
"cbo7489","Lepidium latifolium","Perennial pepperweed","Matthew Danielczyk","Audubon Canyon Ranch",2012-07-03,"1 Square Meters","05/25/15","5 Square Meters",11,50," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=cbo7489","Marin",38.226931,-122.917063,"NAD83",2," "
"cbo7490","Lepidium latifolium","Perennial pepperweed","Matthew Danielczyk","Audubon Canyon Ranch",2012-07-03,"2 Square Meters","05/25/15","10 Square Meters",101,1000," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=cbo7490","Marin",38.22659,-122.917123,"NAD83",2," "
"cbo7491","Lepidium latifolium","Perennial pepperweed","Matthew Danielczyk","Audubon Canyon Ranch",2012-07-03,"5 Square Meters","05/25/15","20 Square Meters",11,50," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=cbo7491","Marin",38.229651,-122.915453,"NAD83",3," "
"cbo7492","Lepidium latifolium","Perennial pepperweed","Matthew Danielczyk","Audubon Canyon Ranch",2012-07-03,"2 Square Meters","05/25/15","10 Square Meters",11,50," ","http://www.calflora.org/cgi-bin/noccdetail.cgi?seq_num=cbo7492","Marin",38.229401,-122.915563,"NAD83",4," "
